series,timestamp,value,label
pressure,2023-07-01T05:07:24.000Z,970.75739,
pressure,2023-07-01T05:17:24.000Z,970.80678,
pressure,2023-07-01T05:27:24.000Z,970.9133,
pressure,2023-07-01T05:37:24.000Z,970.9074,
pressure,2023-07-01T05:47:24.000Z,970.87386,
pressure,2023-07-01T05:57:24.000Z,970.78907,
pressure,2023-07-01T06:07:24.000Z,970.76733,
pressure,2023-07-01T06:17:24.000Z,970.6608,
pressure,2023-07-01T06:27:24.000Z,970.649,
pressure,2023-07-01T06:37:24.000Z,970.74963,
pressure,2023-07-01T06:47:24.000Z,970.77913,
pressure,2023-07-01T06:57:24.000Z,970.74963,
pressure,2023-07-01T07:07:24.000Z,970.77137,
pressure,2023-07-01T07:17:24.000Z,970.6549,
pressure,2023-07-01T07:27:24.000Z,970.87603,
pressure,2023-07-01T07:37:24.000Z,970.79715,
pressure,2023-07-01T07:47:24.000Z,970.80305,
pressure,2023-07-01T07:57:24.000Z,970.79715,
pressure,2023-07-01T08:07:24.000Z,970.61174,
pressure,2023-07-01T08:17:24.000Z,970.5465,
pressure,2023-07-01T08:27:24.000Z,970.47351,
pressure,2023-07-01T08:37:24.000Z,970.22869,
pressure,2023-07-01T08:47:24.000Z,970.14571,
pressure,2023-07-01T08:57:24.000Z,969.99378,
pressure,2023-07-01T09:07:24.000Z,970.43185,
pressure,2023-07-01T09:17:24.000Z,970.42372,
pressure,2023-07-01T09:27:24.000Z,970.26773,
pressure,2023-07-01T09:37:24.000Z,970.58154,
pressure,2023-07-01T09:47:24.000Z,970.6515,
pressure,2023-07-01T09:57:24.000Z,970.47166,
pressure,2023-07-01T10:07:24.000Z,970.73123,
pressure,2023-07-01T10:17:24.000Z,970.92943,
pressure,2023-07-01T10:27:24.000Z,971.03908,
pressure,2023-07-01T10:37:24.000Z,971.11315,
pressure,2023-07-01T10:47:24.000Z,970.83846,
pressure,2023-07-01T10:57:24.000Z,971.26262,
pressure,2023-07-01T11:07:24.000Z,971.10111,
pressure,2023-07-01T11:17:24.000Z,970.99002,
pressure,2023-07-01T11:27:24.000Z,970.78248,
pressure,2023-07-01T11:37:24.000Z,970.92997,
pressure,2023-07-01T11:47:24.000Z,970.53218,
pressure,2023-07-01T11:57:24.000Z,970.92368,
pressure,2023-07-01T12:07:24.000Z,970.83616,
