series,timestamp,value,label
Rise,2023-07-01T09:27:24.000Z,564,1
Set,2023-07-02T01:57:24.000Z,114,1
Rise,2023-07-02T09:22:24.000Z,559,1
Set,2023-07-03T01:57:24.000Z,114,1
Rise,2023-07-03T09:22:24.000Z,559,1
Set,2023-07-04T01:47:24.000Z,104,1
Rise,2023-07-04T09:37:24.000Z,574,1
Set,2023-07-05T01:42:24.000Z,99,1
Rise,2023-07-05T09:27:24.000Z,564,1
Set,2023-07-06T01:52:24.000Z,109,1
Rise,2023-07-06T09:47:24.000Z,584,1
Set,2023-07-07T01:57:24.000Z,114,1
Rise,2023-07-07T09:32:24.000Z,569,1
Set,2023-07-08T01:47:24.000Z,104,1
Rise,2023-07-08T09:37:24.000Z,574,1
Set,2023-07-09T02:02:24.000Z,119,1
Rise,2023-07-09T09:32:24.000Z,569,1
Set,2023-07-10T01:57:24.000Z,114,1
Rise,2023-07-10T09:32:24.000Z,569,1
Set,2023-07-11T01:52:24.000Z,109,1
Rise,2023-07-11T09:42:24.000Z,579,1
Set,2023-07-12T01:52:24.000Z,109,1
Rise,2023-07-12T09:42:24.000Z,579,1
Set,2023-07-13T01:37:24.000Z,94,1
Rise,2023-07-13T09:42:24.000Z,579,1
Set,2023-07-14T01:47:24.000Z,104,1
Rise,2023-07-14T09:42:24.000Z,579,1
Set,2023-07-15T01:47:24.000Z,104,1
Rise,2023-07-15T09:52:24.000Z,589,1
Set,2023-07-16T01:47:24.000Z,104,1
Rise,2023-07-16T09:42:24.000Z,579,1
Set,2023-07-17T01:37:24.000Z,94,1
Rise,2023-07-17T09:37:24.000Z,574,1
Set,2023-07-18T01:42:24.000Z,99,1
Rise,2023-07-18T09:37:24.000Z,574,1
Set,2023-07-19T01:42:24.000Z,99,1
Rise,2023-07-19T09:42:24.000Z,579,1
Set,2023-07-20T01:37:24.000Z,94,1
Rise,2023-07-20T09:57:24.000Z,594,1
Set,2023-07-21T01:37:24.000Z,94,1
Rise,2023-07-21T09:52:24.000Z,589,1
Set,2023-07-22T01:42:24.000Z,99,1
Rise,2023-07-22T09:52:24.000Z,589,1
Set,2023-07-23T01:32:24.000Z,89,1
Rise,2023-07-23T09:52:24.000Z,589,1
Set,2023-07-24T01:37:24.000Z,94,1
Rise,2023-07-24T09:57:24.000Z,594,1
Set,2023-07-25T01:37:24.000Z,94,1
Rise,2023-07-25T09:57:24.000Z,594,1
Set,2023-07-26T01:37:24.000Z,94,1
Rise,2023-07-26T09:57:24.000Z,594,1
Set,2023-07-27T01:37:24.000Z,94,1
Rise,2023-07-27T09:57:24.000Z,594,1
Set,2023-07-28T01:27:24.000Z,84,1
Rise,2023-07-28T10:07:24.000Z,604,1
Set,2023-07-29T01:32:24.000Z,89,1
Rise,2023-07-29T10:07:24.000Z,604,1
Set,2023-07-30T01:42:24.000Z,99,1
Rise,2023-07-30T09:57:24.000Z,594,1
Set,2023-07-31T01:27:24.000Z,84,1
Rise,2023-07-31T10:07:24.000Z,604,1
Set,2023-08-01T01:22:24.000Z,79,1
Rise,2023-08-01T10:07:24.000Z,604,1
Set,2023-08-02T01:27:24.000Z,84,1
Rise,2023-08-02T10:07:24.000Z,604,1
Set,2023-08-03T01:22:24.000Z,79,1
Rise,2023-08-03T10:07:24.000Z,604,1
Set,2023-08-04T01:27:24.000Z,84,1
Rise,2023-08-04T10:02:24.000Z,599,1
Set,2023-08-05T01:22:24.000Z,79,1
Rise,2023-08-05T10:02:24.000Z,599,1
Set,2023-08-06T01:27:24.000Z,84,1
Rise,2023-08-06T10:02:24.000Z,599,1
Set,2023-08-07T01:17:24.000Z,74,1
Rise,2023-08-07T10:12:24.000Z,609,1
Set,2023-08-08T01:22:24.000Z,79,1
Rise,2023-08-08T10:12:24.000Z,609,1
Set,2023-08-09T01:22:24.000Z,79,1
Rise,2023-08-09T10:12:24.000Z,609,1
Set,2023-08-10T01:17:24.000Z,74,1
Rise,2023-08-10T10:17:24.000Z,614,1
Set,2023-08-11T01:12:24.000Z,69,1
Rise,2023-08-11T10:17:24.000Z,614,1
Set,2023-08-12T01:12:24.000Z,69,1
Rise,2023-08-12T10:17:24.000Z,614,1
Set,2023-08-13T01:17:24.000Z,74,1
Rise,2023-08-13T10:22:24.000Z,619,1
Set,2023-08-14T01:12:24.000Z,69,1
Rise,2023-08-14T10:17:24.000Z,614,1
Set,2023-08-15T00:57:24.000Z,54,1
Rise,2023-08-15T10:32:24.000Z,629,1
Set,2023-08-16T01:07:24.000Z,64,1
Rise,2023-08-16T10:22:24.000Z,619,1
Set,2023-08-17T01:07:24.000Z,64,1
Rise,2023-08-17T10:22:24.000Z,619,1
Set,2023-08-18T00:57:24.000Z,54,1
Rise,2023-08-18T10:22:24.000Z,619,1
Set,2023-08-19T01:02:24.000Z,59,1
Rise,2023-08-19T10:27:24.000Z,624,1
Set,2023-08-20T01:02:24.000Z,59,1
Rise,2023-08-20T10:22:24.000Z,619,1
Set,2023-08-21T00:57:24.000Z,54,1
Rise,2023-08-21T10:32:24.000Z,629,1
Set,2023-08-22T00:57:24.000Z,54,1
Rise,2023-08-22T10:42:24.000Z,639,1
Set,2023-08-23T00:57:24.000Z,54,1
Rise,2023-08-23T10:42:24.000Z,639,1
Set,2023-08-24T00:37:24.000Z,34,1
Rise,2023-08-24T10:32:24.000Z,629,1
Set,2023-08-25T00:27:24.000Z,24,1
Rise,2023-08-25T10:32:24.000Z,629,1
Set,2023-08-26T00:47:24.000Z,44,1
Rise,2023-08-26T10:37:24.000Z,634,1
Set,2023-08-27T00:42:24.000Z,39,1
Rise,2023-08-27T10:37:24.000Z,634,1
Set,2023-08-28T00:47:24.000Z,44,1
Rise,2023-08-28T10:37:24.000Z,634,1
Set,2023-08-29T00:47:24.000Z,44,1
Rise,2023-08-29T10:42:24.000Z,639,1
Set,2023-08-30T00:32:24.000Z,29,1
Rise,2023-08-30T10:42:24.000Z,639,1
Set,2023-08-31T00:47:24.000Z,44,1
Rise,2023-08-31T10:42:24.000Z,639,1
Set,2023-09-01T00:37:24.000Z,34,1
Rise,2023-09-01T10:52:24.000Z,649,1
Set,2023-09-02T00:27:24.000Z,24,1
Rise,2023-09-02T10:52:24.000Z,649,1
Set,2023-09-03T00:32:24.000Z,29,1
Rise,2023-09-03T10:47:24.000Z,644,1
Set,2023-09-04T00:32:24.000Z,29,1
Rise,2023-09-04T10:42:24.000Z,639,1
Set,2023-09-05T00:27:24.000Z,24,1
Rise,2023-09-05T10:47:24.000Z,644,1
Set,2023-09-06T00:22:24.000Z,19,1
Rise,2023-09-06T10:52:24.000Z,649,1
Set,2023-09-07T00:27:24.000Z,24,1
Rise,2023-09-07T10:57:24.000Z,654,1
Set,2023-09-08T00:17:24.000Z,14,1
Rise,2023-09-08T10:52:24.000Z,649,1
Set,2023-09-09T00:22:24.000Z,19,1
Rise,2023-09-09T10:52:24.000Z,649,1
Set,2023-09-10T00:17:24.000Z,14,1
Rise,2023-09-10T10:57:24.000Z,654,1
Set,2023-09-11T00:17:24.000Z,14,1
Rise,2023-09-11T10:57:24.000Z,654,1
Set,2023-09-12T00:07:24.000Z,4,1
Rise,2023-09-12T11:02:24.000Z,659,1
Set,2023-09-13T00:07:24.000Z,4,1
Rise,2023-09-13T10:57:24.000Z,654,1
Set,2023-09-14T00:07:24.000Z,4,1
Rise,2023-09-14T10:57:24.000Z,654,1
Set,2023-09-15T00:07:24.000Z,4,1
Rise,2023-09-15T11:02:24.000Z,659,1
Set,2023-09-16T00:02:24.000Z,1439,1
Rise,2023-09-16T11:07:24.000Z,664,1
Set,2023-09-17T00:02:24.000Z,1439,1
Rise,2023-09-17T11:07:24.000Z,664,1
Set,2023-09-18T00:02:24.000Z,1439,1
Rise,2023-09-18T11:07:24.000Z,664,1
Set,2023-09-19T00:02:24.000Z,1439,1
Rise,2023-09-19T11:02:24.000Z,659,1
Set,2023-09-20T00:02:24.000Z,1439,1
Rise,2023-09-20T11:07:24.000Z,664,1
Set,2023-09-20T23:57:24.000Z,1434,1
Rise,2023-09-21T11:07:24.000Z,664,1
Set,2023-09-21T23:57:24.000Z,1434,1
Rise,2023-09-22T11:12:24.000Z,669,1
Set,2023-09-22T23:57:24.000Z,1434,1
Rise,2023-09-23T11:12:24.000Z,669,1
Set,2023-09-23T23:52:24.000Z,1429,1
Rise,2023-09-24T11:12:24.000Z,669,1
Set,2023-09-24T23:47:24.000Z,1424,1
Rise,2023-09-25T11:22:24.000Z,679,1
Set,2023-09-25T23:52:24.000Z,1429,1
Rise,2023-09-26T11:27:24.000Z,684,1
Set,2023-09-26T23:42:24.000Z,1419,1
Rise,2023-09-27T11:17:24.000Z,674,1
Set,2023-09-27T23:42:24.000Z,1419,1
Rise,2023-09-28T11:17:24.000Z,674,1
Set,2023-09-28T23:42:24.000Z,1419,1
Rise,2023-09-29T11:27:24.000Z,684,1
Set,2023-09-29T23:37:24.000Z,1414,1
Rise,2023-09-30T11:22:24.000Z,679,1
Set,2023-09-30T23:37:24.000Z,1414,1
Rise,2023-10-01T11:22:24.000Z,679,1
Set,2023-10-01T23:37:24.000Z,1414,1
Rise,2023-10-02T11:27:24.000Z,684,1
Set,2023-10-02T23:37:24.000Z,1414,1
Rise,2023-10-03T11:27:24.000Z,684,1
Set,2023-10-03T23:37:24.000Z,1414,1
Rise,2023-10-04T11:17:24.000Z,674,1
Set,2023-10-04T23:27:24.000Z,1404,1
Rise,2023-10-05T11:32:24.000Z,689,1
Set,2023-10-05T23:27:24.000Z,1404,1
Rise,2023-10-06T11:27:24.000Z,684,1
Set,2023-10-06T23:22:24.000Z,1399,1
Rise,2023-10-07T11:32:24.000Z,689,1
Set,2023-10-07T23:22:24.000Z,1399,1
Rise,2023-10-08T11:27:24.000Z,684,1
Set,2023-10-08T23:22:24.000Z,1399,1
Rise,2023-10-09T11:32:24.000Z,689,1
Set,2023-10-09T23:12:24.000Z,1389,1
Rise,2023-10-10T11:32:24.000Z,689,1
Set,2023-10-10T23:27:24.000Z,1404,1
Rise,2023-10-11T11:32:24.000Z,689,1
Set,2023-10-11T23:22:24.000Z,1399,1
Rise,2023-10-12T11:37:24.000Z,694,1
Set,2023-10-12T23:07:24.000Z,1384,1
Rise,2023-10-13T11:37:24.000Z,694,1
Set,2023-10-13T22:57:24.000Z,1374,1
Rise,2023-10-14T11:52:24.000Z,709,1
Set,2023-10-14T23:07:24.000Z,1384,1
Rise,2023-10-15T11:47:24.000Z,704,2
Set,2023-10-15T23:17:24.000Z,1394,2
Rise,2023-10-16T11:27:24.000Z,684,3
Set,2023-10-16T23:02:24.000Z,1379,3
Rise,2023-10-17T11:27:24.000Z,684,3
Set,2023-10-17T22:57:24.000Z,1374,3
Rise,2023-10-18T11:17:24.000Z,674,3
Set,2023-10-18T22:57:24.000Z,1374,3
Rise,2023-10-19T11:42:24.000Z,699,3
Set,2023-10-19T23:02:24.000Z,1379,3
Rise,2023-10-20T11:42:24.000Z,699,3
Set,2023-10-20T22:57:24.000Z,1374,3
Rise,2023-10-21T11:17:24.000Z,674,3
Set,2023-10-21T23:02:24.000Z,1379,3
Rise,2023-10-22T11:22:24.000Z,679,3
Set,2023-10-22T23:02:24.000Z,1379,3
Rise,2023-10-23T11:17:24.000Z,674,3-5
Set,2023-10-23T22:52:24.000Z,1369,4
Rise,2023-10-24T11:27:24.000Z,684,5
Set,2023-10-24T23:02:24.000Z,1379,5
Rise,2023-10-25T11:32:24.000Z,689,5
Set,2023-10-26T01:02:24.000Z,59,discard
Rise,2023-10-26T11:32:24.000Z,689,5
Set,2023-10-27T01:22:24.000Z,79,discard
Rise,2023-10-27T11:27:24.000Z,684,5
Set,2023-10-27T22:57:24.000Z,1374,5
Rise,2023-10-28T03:17:24.000Z,194,discard
Set,2023-10-29T00:42:24.000Z,39,discard
Rise,2023-10-29T11:32:24.000Z,689,5
Set,2023-10-29T22:52:24.000Z,1369,5
Rise,2023-10-30T11:47:24.000Z,704,5
Set,2023-10-30T22:57:24.000Z,1374,5
Rise,2023-10-31T11:47:24.000Z,704,5
Set,2023-10-31T22:42:24.000Z,1359,5
Rise,2023-11-01T11:32:24.000Z,689,5
Set,2023-11-01T22:57:24.000Z,1374,5
Rise,2023-11-02T11:22:24.000Z,679,6
Set,2023-11-02T22:47:24.000Z,1364,6
Rise,2023-11-03T11:37:24.000Z,694,6
Set,2023-11-03T22:32:24.000Z,1349,6
Rise,2023-11-04T11:42:24.000Z,699,6
Set,2023-11-04T22:27:24.000Z,1344,6
Rise,2023-11-05T11:37:24.000Z,694,6
Set,2023-11-05T22:42:24.000Z,1359,6
Rise,2023-11-06T11:37:24.000Z,694,6
Set,2023-11-06T22:42:24.000Z,1359,6
Rise,2023-11-07T11:37:24.000Z,694,6
Set,2023-11-07T22:37:24.000Z,1354,6
Rise,2023-11-08T11:37:24.000Z,694,6
Set,2023-11-08T22:37:24.000Z,1354,6
Rise,2023-11-09T11:37:24.000Z,694,6
Set,2023-11-09T22:47:24.000Z,1364,6
Rise,2023-11-10T11:42:24.000Z,699,6
Set,2023-11-10T22:32:24.000Z,1349,6
Rise,2023-11-11T11:02:24.000Z,659,7
Set,2023-11-11T22:47:24.000Z,1364,7
Rise,2023-11-12T11:37:24.000Z,694,7
Set,2023-11-12T22:52:24.000Z,1369,7
Rise,2023-11-13T11:12:24.000Z,669,7
Set,2023-11-13T22:42:24.000Z,1359,7
Rise,2023-11-14T11:07:24.000Z,664,7
Set,2023-11-14T22:32:24.000Z,1349,7
Rise,2023-11-15T11:17:24.000Z,674,7
Set,2023-11-15T22:32:24.000Z,1349,7
Rise,2023-11-16T11:12:24.000Z,669,7
Set,2023-11-16T22:37:24.000Z,1354,7
Rise,2023-11-17T11:12:24.000Z,669,7
Set,2023-11-17T22:37:24.000Z,1354,7
Rise,2023-11-18T11:07:24.000Z,664,7
Set,2023-11-18T22:37:24.000Z,1354,7
Rise,2023-11-19T11:02:24.000Z,659,7
Set,2023-11-19T22:42:24.000Z,1359,7
Rise,2023-11-20T11:07:24.000Z,664,7
Set,2023-11-20T22:47:24.000Z,1364,7
Rise,2023-11-21T11:07:24.000Z,664,7
Set,2023-11-21T22:42:24.000Z,1359,7
Rise,2023-11-22T11:07:24.000Z,664,7
Set,2023-11-22T22:42:24.000Z,1359,7
Rise,2023-11-23T11:17:24.000Z,674,7
Set,2023-11-23T22:37:24.000Z,1354,7
Rise,2023-11-24T11:12:24.000Z,669,7
Set,2023-11-24T22:42:24.000Z,1359,7
Rise,2023-11-25T11:17:24.000Z,674,7
Set,2023-11-25T22:42:24.000Z,1359,7
Rise,2023-11-26T11:12:24.000Z,669,7
Set,2023-11-26T22:32:24.000Z,1349,7
Rise,2023-11-27T11:17:24.000Z,674,7
Set,2023-11-27T22:42:24.000Z,1359,7
Rise,2023-11-28T11:22:24.000Z,679,7
Set,2023-11-28T22:27:24.000Z,1344,7
Rise,2023-11-29T11:22:24.000Z,679,7
Set,2023-11-29T22:37:24.000Z,1354,7
Rise,2023-11-30T11:22:24.000Z,679,7
Set,2023-11-30T22:37:24.000Z,1354,7
Rise,2023-12-01T11:12:24.000Z,669,7
Set,2023-12-01T22:37:24.000Z,1354,7
Rise,2023-12-02T11:22:24.000Z,679,7
Set,2023-12-02T22:37:24.000Z,1354,7
Rise,2023-12-03T11:27:24.000Z,684,7
Set,2023-12-03T22:37:24.000Z,1354,7
Rise,2023-12-04T11:22:24.000Z,679,7
Set,2023-12-04T22:37:24.000Z,1354,7
Rise,2023-12-05T11:22:24.000Z,679,7
