"series","timestamp","value","label"
"Rise","2023-06-01T09:32:50Z",566,"1"
"Set","2023-06-02T01:37:50Z",91,"1"
"Rise","2023-06-02T09:27:50Z",561,"1"
"Set","2023-06-03T01:42:50Z",96,"1"
"Rise","2023-06-03T09:22:50Z",556,"1"
"Set","2023-06-04T01:37:50Z",91,"1"
"Rise","2023-06-04T09:17:50Z",551,"1"
"Set","2023-06-05T01:37:50Z",91,"1"
"Rise","2023-06-05T09:42:50Z",576,"1"
"Set","2023-06-06T01:37:50Z",91,"1"
"Rise","2023-06-06T09:32:50Z",566,"1"
"Set","2023-06-07T01:37:50Z",91,"1"
"Rise","2023-06-07T09:32:50Z",566,"1"
"Set","2023-06-08T01:37:50Z",91,"1"
"Rise","2023-06-08T09:27:50Z",561,"1"
"Set","2023-06-09T01:32:50Z",86,"1"
"Rise","2023-06-09T09:27:50Z",561,"1"
"Set","2023-06-10T01:47:50Z",101,"1"
"Rise","2023-06-10T09:37:50Z",571,"1"
"Set","2023-06-11T01:37:50Z",91,"1"
"Rise","2023-06-11T09:37:50Z",571,"1"
"Set","2023-06-12T01:37:50Z",91,"1"
"Rise","2023-06-12T09:37:50Z",571,"1"
"Set","2023-06-13T01:37:50Z",91,"1"
"Rise","2023-06-13T09:32:50Z",566,"1"
"Set","2023-06-14T01:47:50Z",101,"1"
"Rise","2023-06-14T09:27:50Z",561,"1"
"Set","2023-06-15T01:32:50Z",86,"1"
"Rise","2023-06-15T09:37:50Z",571,"1"
"Set","2023-06-16T01:42:50Z",96,"1"
"Rise","2023-06-16T09:42:50Z",576,"1"
"Set","2023-06-17T01:47:50Z",101,"1"
"Rise","2023-06-17T09:32:50Z",566,"1"
"Set","2023-06-18T01:47:50Z",101,"1"
"Rise","2023-06-18T09:27:50Z",561,"1"
"Set","2023-06-19T01:47:50Z",101,"1"
"Rise","2023-06-19T09:27:50Z",561,"1"
"Set","2023-06-20T01:47:50Z",101,"1"
"Rise","2023-06-20T09:27:50Z",561,"1"
"Set","2023-06-21T01:57:50Z",111,"1"
"Rise","2023-06-21T09:12:50Z",546,"1"
"Set","2023-06-22T01:52:50Z",106,"1"
"Rise","2023-06-22T09:27:50Z",561,"1"
"Set","2023-06-23T01:47:50Z",101,"1"
"Rise","2023-06-23T09:37:50Z",571,"1"
"Set","2023-06-24T01:52:50Z",106,"1"
"Rise","2023-06-24T09:17:50Z",551,"1"
"Set","2023-06-25T01:32:50Z",86,"1"
"Rise","2023-06-25T09:37:50Z",571,"1"
"Set","2023-06-26T01:42:50Z",96,"1"
"Rise","2023-06-26T09:32:50Z",566,"1"
"Set","2023-06-27T01:42:50Z",96,"1"
"Rise","2023-06-27T10:07:50Z",601,"1"
